MPN,Quantity,Value,Capacitance,Tolerance,Voltage - Rated,Dielectric,Operating Temperature,ESR @ Frequency,Ratings,Ripple Current @ Low Frequency,Ripple Current @ High Frequency,Qualification,Mounting Type,Package / Case,Manufacturer,RoHS,Description,Datasheet,TT,FF,CC,SS,XXX,DMTUID,Type,Material - Core,Inductance,Current Rating (Amps),Current - Saturation (Isat),Shielding,DC Resistance (DCR),Q @ Freq,Frequency - Self Resonant,Inductance Frequency - Test,FET Type,Technology,Drain to Source Voltage (Vdss),Current - Continuous Drain (Id) on 25°C,Drive Voltage (Max Rds On),Drive Voltage (Min Rds On),"Rds On (Max) @ Id, Vgs",Vgs(th) (Max) @ Id,Gate Charge (Qg) (Max) @ Vgs,Vgs (Max),Input Capacitance (Ciss) (Max) @ Vds,FET Feature,Power Dissipation (Max),Grade,Filter Type,Number of Lines,Inductance @ Frequency,Current Rating (Max),DC Resistance (DCR) (Max),Package,Features,Applications,Failure Rate,Current - Continuous Drain (Id) @ 25°C,"Drive Voltage (Max Rds On, Min Rds On)",Supplier Device Package,Series,Transistor Type,Polarity,Collector-Emitter Voltage (Vceo),Collector-Base Voltage (Vcbo),Emitter-Base Voltage (Vebo),Collector Current (Ic),Power Dissipation (Pd),"Gain (hFE) @ Ic, Vce",Transition Frequency (ft),Noise Figure,Resistance,Power (Watts),Composition,Features2
STB60NF06LT4,79,STB60NF06,,,,,-65 to 175 °C,,,,,AEC-Q101,SMD,D2PAK,ST Microelectronics,YES,N-channel 60 V - 0.012Ω - 60 A - TO-220/D2 PAK/TO-220 FP STripFET™ II Power MOSFET,https://www.st.com/resource/en/datasheet/stp60 nf06 l.pdf,2,3,1,10,1,DMT-02030110001,,,,,,,,,,,N-Channel,MOSFET,60 V,60 A,5 V,10 V,"0.014 R @ 30 A, 10 V",1 V @ 250 uA,66 nC @ 4.5 V,±15 V,2000 pF @ 25 V,,110 W,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVMFD6H846NLT1G,16,NVMFD6H846,,,,,-55 to 175 °C,,,,,AEC-Q101 Qualified,SMD,DFN8 5x6 (SO8FL),ON Semiconductor,YES,"MOSFET – Power, Dual N-Channel 80 V, 15 mΩ, 31 A",https://www.onsemi.com/pdf/datasheet/nvmfd6h846nl-d.pdf,2,3,1,3,1,DMT-02030103001,,,,,,,,,,,N-Channel,MOSFET,80 V,9.4 A,4.5 V,10 V,"0.0151 R @ 5 A, 4.5 V",2 V @ 21 uA,17 nC @ Vgs=10 V,±20 V,900 pF @ Vds=40 V,"Small Footprint, Low RDS(on), Low QG, Wettable Flank Option, AEC-Q101 Qualified, Pb-Free, RoHS",34 W,AEC-Q101 Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSS138LT1G,80,BSS138,,,,,-55 to 150 °C,,,,,,SMD,SOT-23 (TO-236),ON Semiconductor,YES,"200 mA, 50 V MOSFET – Power, N-Channel, SOT-23",https://www.onsemi.com/download/data-sheet/pdf/bss138lt1-d.pdf,2,3,1,1,1,DMT-02030101001,,,,,,,,,,,N-Channel,MOSFET,50 V,200 mA,5 V,5 V,"3.5 R @ 200 mA, 5 V",1.5 V @ 1 mA,50 pF @ 25 V,±20 V,40 pF @ 25 V,"Low Threshold Voltage, Miniature SOT-23, Halogen Free/BFR Free, RoHS Compliant",225 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiR414DP-T1-GE3,107,SiR414DP,,,,,-55 to 150 °C,,,,,,SMD,PowerPAK® SO-8 Single,Vishay,YES,N-Channel 40 V 50A (D-S) MOSFET,https://www.vishay.com/docs/64727/sir414dp.pdf,2,3,1,99,1,DMT-02030199001,,,,,,,,,,,N-Channel,MOSFET,40 V,50 A,4.5 V,10 V,"0.0028 R @ 20 A, 10 V",2.5 V @ 250 uA,117nC @ 10 V,±20 V,4750 pF @ 20 V,TrenchFET® power MOSFET,83 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2N7002DW-7-F,184,2N7002DW,,,,,-55 to 150 °C,,,,,,SMD,SOT-363,Infineon Technologies AG,YES,OptiMOS™ Small-Signal-Transistor,https://www.diodes.com/assets/Datasheets/2N7002DW.pdf,2,3,1,99,2,DMT-02030199002,,,,,,,,,,,N-Channel,MOSFET,60 V,230 mA,4.5 V,10 V,"7.5 R @ 230 mA, 5 V",2 V @ 250 uA,,±20 V,22 pF @ 25 V,"Dual N-channel, Enhancement mode, Logic level, Avalanche rated, Fast switching, AEC Q101 qualified, RoHS compliant, Halogen-free",0.5 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVMFS5C604NLWFT1G,5,NVMFS5C604,,,,,-55 to 175 °C,,,,,AEC-Q101 Qualified,SMD,5-DFN (5x6) (8-SOFL),ON semiconductor,YES,"Power, Single N-Channel 60 V, 1.2 m, 287 A",https://www.onsemi.com/pdf/datasheet/nvmfs5c604nl-d.pdf,2,3,1,3,2,DMT-02030103002,,,,,,,,,,,N-Channel,MOSFET,60 V,40 A,4.5 V,10 V,"0.0012 R @ 50 A, 10 V",2.0 V @ 250 uA,120 nC @ 10 V,±20 V,8900 pF @ 25 V,Small Footprint (5x6 mm) for Compact Design; Low RDS(on) to Minimize Conduction Losses; Low QG and Capacitance to Minimize Driver Losses; Wettable Flank Option for Enhanced Optical Inspection; AEC‑Q101 Qualified and PPAP Capable; Pb‑Free and RoHS Compliant,200 W,AEC-Q101,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ2315ES-T1-GE3,3000,SQ2315ES,,,,,-55 to 150 °C,,,,,AEC-Q101,SMD,SOT-23,Vishay,YES,Automotive P-Channel 12 V (D-S) 175 °C MOSFET,https://www.vishay.com/docs/71507/sq2315es.pdf,2,3,1,1,2,DMT-02030101002,,,,,,,,,,,P-Channel,MOSFET,-12 V,-5 A,-1.8 V,-4.5 V,"0.050 R @ -3.5 A, -10 V",-1 V @ -0.25 mA,13 nC @ -4.5 V,±8 V,870 pF @ -4 V,TrenchFET power MOSFET,2 W,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMP3013SFV-7,0,DMP3013SFV,,,,,-55 to 150 °C,,,,,,SMD,PowerDI3333-8 (Type UX),Diodes Incorporated,YES,P-Channel MOSFET,30V P-CHANNEL ENHANCEMENT MODE MOSFET,2,3,1,99,3,DMT-02030199003,,,,,,,,,,,P-Channel,MOSFET,-30 V,-12 A,-4.5 V,-10 V,"0.0095 R @ -11.5 A, -10 V",-3.0 V @ -0.25 mA,33.7 nC @ -10 V,±25 V,1674 pF @ -15 V,Low RDS(ON); ESD Protected Gate,31 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSZ065N06LS5ATMA1,0,BSZ065N06LS5,,,,,-55 to 150 °C,,,,,,SMD,8-PowerTDFN,Infineon Technologies AG,YES,N-Channel 60 V 40A (Tc) 46W (Tc) Surface Mount PG-TSDSON-8-FL,,2,3,1,99,4,DMT-02030199004,,,,,,,,,,,N-Channel,MOSFET,60 V,40 A,4.5 V,10 V,"0.0065 R @ 20 A, 10 V",2.3 V @ 20 uA,13 nC @ 4.5 V,±20 V,1800 pF @ 30 V,,46 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS170R1H272KSBBA0R,,2.7nF 50V,2.7 nF,10%,50 V,X7R,-55 to 125 °C,,,,,,THT,Radial Leaded,Suntan,YES,Multilayer Ceramic Capacitor,https://www.farnell.com/datasheets/2622414.pdf,1,1,1,1,1,DMT-01010101001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3216X7R1C106K160AC,,10uF 16V,10 uF,10%,16 V,X7R,-55 °C to 125 °C,,,,,,SMD,1206,,YES,Multilayer Ceramic Capacitor,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,1,1,1,1,2,DMT-01010101002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
